"","StateFull","Year","Description","Value"
"3142","District of Columbia","1999","Per capita rent 4/",661
"3143","District of Columbia","1999","Place of work profile (millions of dollars)",NA
"3144","District of Columbia","1999","Earnings by place of work",44067
"3145","District of Columbia","1999","Wages and salaries",33322.1
"3146","District of Columbia","1999","Supplements to wages and salaries",7785.2
"3147","District of Columbia","1999","Employer contributions for employee pension and insurance funds 5/",5658.6
"3148","District of Columbia","1999","Employer contributions for government social insurance",2126.6
"3149","District of Columbia","1999","Proprietors' income",2959.6
"3150","District of Columbia","1999","Farm proprietors' income",0
"3151","District of Columbia","1999","Nonfarm proprietors' income",2959.6
"3152","District of Columbia","1999","Total employment (number of jobs)",711478
"3153","District of Columbia","1999","Wage and salary employment",664926
"3154","District of Columbia","1999","Proprietors employment",46552
"3155","District of Columbia","1999","Farm proprietors employment 6/",0
"3156","District of Columbia","1999","Nonfarm proprietors employment",46552
"3157","District of Columbia","1999","Average earnings per job (dollars)",61937
"3158","District of Columbia","1999","Average wages and salaries",50114
"3159","District of Columbia","1999","Average nonfarm proprietors' income",63577
"3160","Florida","1999","Place of residence profile",NA
"3161","Florida","1999","Personal income (millions of dollars)",435726
"3162","Florida","1999","Derivation of personal income",NA
"3163","Florida","1999","Net earnings by place of residence",255263.6
"3164","Florida","1999","Personal current transfer receipts",63796.7
"3165","Florida","1999","Income maintenance benefits 1/",5283
"3166","Florida","1999","Unemployment insurance compensation",701.8
"3167","Florida","1999","Retirement and other",57811.9
"3168","Florida","1999","Dividends, interest, and rent",116665.7
"3169","Florida","1999","Personal dividend income",30644.5
"3170","Florida","1999","Personal interest income",76591.3
"3171","Florida","1999","Imputed interest receipts 2/",40805
"3172","Florida","1999","Monetary interest receipts",35786.2
"3173","Florida","1999","Rental income of persons",9430
"3174","Florida","1999","Imputed rent",6077.1
"3175","Florida","1999","Monetary rent",3353
"3176","Florida","1999","Population (persons) 3/",15759421
"3177","Florida","1999","Per capita incomes (dollars)",NA
"3178","Florida","1999","Per capita personal income 4/",27649
"3179","Florida","1999","Per capita net earnings 4/",16198
"3180","Florida","1999","Per capita personal current transfer receipts 4/",4048
"3181","Florida","1999","Per capita income maintenance benefits 4/",335
"3182","Florida","1999","Per capita unemployment insurance compensation 4/",45
"3183","Florida","1999","Per capita retirement and other 4/",3668
"3184","Florida","1999","Per capita dividends, interest, and rent 4/",7403
"3185","Florida","1999","Per capita dividends 4/",1945
"3186","Florida","1999","Per capita interest 4/",4860
"3187","Florida","1999","Per capita rent 4/",598
"3188","Florida","1999","Place of work profile (millions of dollars)",NA
"3189","Florida","1999","Earnings by place of work",284906.1
"3190","Florida","1999","Wages and salaries",212076.7
"3191","Florida","1999","Supplements to wages and salaries",45211
"3192","Florida","1999","Employer contributions for employee pension and insurance funds 5/",30761.5
"3193","Florida","1999","Employer contributions for government social insurance",14449.4
"3194","Florida","1999","Proprietors' income",27618.4
"3195","Florida","1999","Farm proprietors' income",1810.9
"3196","Florida","1999","Nonfarm proprietors' income",25807.5
"3197","Florida","1999","Total employment (number of jobs)",8577884
"3198","Florida","1999","Wage and salary employment",7227372
"3199","Florida","1999","Proprietors employment",1350512
"3200","Florida","1999","Farm proprietors employment 6/",42153
"3201","Florida","1999","Nonfarm proprietors employment",1308359
"3202","Florida","1999","Average earnings per job (dollars)",33214
"3203","Florida","1999","Average wages and salaries",29344
"3204","Florida","1999","Average nonfarm proprietors' income",19725
"3205","Georgia","1999","Place of residence profile",NA
"3206","Georgia","1999","Personal income (millions of dollars)",218793.4
"3207","Georgia","1999","Derivation of personal income",NA
"3208","Georgia","1999","Net earnings by place of residence",157865.4
"3209","Georgia","1999","Personal current transfer receipts",23908.5
"3210","Georgia","1999","Income maintenance benefits 1/",2906.9
"3211","Georgia","1999","Unemployment insurance compensation",299.3
"3212","Georgia","1999","Retirement and other",20702.3
"3213","Georgia","1999","Dividends, interest, and rent",37019.6
"3214","Georgia","1999","Personal dividend income",9514.8
"3215","Georgia","1999","Personal interest income",23197.4
"3216","Georgia","1999","Imputed interest receipts 2/",14892
"3217","Georgia","1999","Monetary interest receipts",8305.3
"3218","Georgia","1999","Rental income of persons",4307.3
"3219","Georgia","1999","Imputed rent",3043.8
"3220","Georgia","1999","Monetary rent",1263.6
"3221","Georgia","1999","Population (persons) 3/",8045965
"3222","Georgia","1999","Per capita incomes (dollars)",NA
"3223","Georgia","1999","Per capita personal income 4/",27193
"3224","Georgia","1999","Per capita net earnings 4/",19620
"3225","Georgia","1999","Per capita personal current transfer receipts 4/",2971
"3226","Georgia","1999","Per capita income maintenance benefits 4/",361
"3227","Georgia","1999","Per capita unemployment insurance compensation 4/",37
"3228","Georgia","1999","Per capita retirement and other 4/",2573
"3229","Georgia","1999","Per capita dividends, interest, and rent 4/",4601
"3230","Georgia","1999","Per capita dividends 4/",1183
"3231","Georgia","1999","Per capita interest 4/",2883
"3232","Georgia","1999","Per capita rent 4/",535
"3233","Georgia","1999","Place of work profile (millions of dollars)",NA
"3234","Georgia","1999","Earnings by place of work",176616
"3235","Georgia","1999","Wages and salaries",130922.9
"3236","Georgia","1999","Supplements to wages and salaries",25387
"3237","Georgia","1999","Employer contributions for employee pension and insurance funds 5/",16784.3
"3238","Georgia","1999","Employer contributions for government social insurance",8602.7
"3239","Georgia","1999","Proprietors' income",20306.1
"3240","Georgia","1999","Farm proprietors' income",1680.4
"3241","Georgia","1999","Nonfarm proprietors' income",18625.7
"3242","Georgia","1999","Total employment (number of jobs)",4728750
"3243","Georgia","1999","Wage and salary employment",4043055
"3244","Georgia","1999","Proprietors employment",685695
"3245","Georgia","1999","Farm proprietors employment 6/",51110
"3246","Georgia","1999","Nonfarm proprietors employment",634585
"3247","Georgia","1999","Average earnings per job (dollars)",37349
"3248","Georgia","1999","Average wages and salaries",32382
"3249","Georgia","1999","Average nonfarm proprietors' income",29351
"3250","Hawaii","1999","Place of residence profile",NA
"3251","Hawaii","1999","Personal income (millions of dollars)",33864.3
"3252","Hawaii","1999","Derivation of personal income",NA
"3253","Hawaii","1999","Net earnings by place of residence",22336.1
"3254","Hawaii","1999","Personal current transfer receipts",3922.2
"3255","Hawaii","1999","Income maintenance benefits 1/",593.6
"3256","Hawaii","1999","Unemployment insurance compensation",133.4
"3257","Hawaii","1999","Retirement and other",3195.1
"3258","Hawaii","1999","Dividends, interest, and rent",7606
"3259","Hawaii","1999","Personal dividend income",1176.2
"3260","Hawaii","1999","Personal interest income",5315.6
"3261","Hawaii","1999","Imputed interest receipts 2/",3723.9
"3262","Hawaii","1999","Monetary interest receipts",1591.8
"3263","Hawaii","1999","Rental income of persons",1114.2
"3264","Hawaii","1999","Imputed rent",683.2
"3265","Hawaii","1999","Monetary rent",430.9
"3266","Hawaii","1999","Population (persons) 3/",1210300
"3267","Hawaii","1999","Per capita incomes (dollars)",NA
"3268","Hawaii","1999","Per capita personal income 4/",27980
"3269","Hawaii","1999","Per capita net earnings 4/",18455
"3270","Hawaii","1999","Per capita personal current transfer receipts 4/",3241
"3271","Hawaii","1999","Per capita income maintenance benefits 4/",490
"3272","Hawaii","1999","Per capita unemployment insurance compensation 4/",110
"3273","Hawaii","1999","Per capita retirement and other 4/",2640
"3274","Hawaii","1999","Per capita dividends, interest, and rent 4/",6284
"3275","Hawaii","1999","Per capita dividends 4/",972
"3276","Hawaii","1999","Per capita interest 4/",4392
"3277","Hawaii","1999","Per capita rent 4/",921
"3278","Hawaii","1999","Place of work profile (millions of dollars)",NA
"3279","Hawaii","1999","Earnings by place of work",25076
"3280","Hawaii","1999","Wages and salaries",18185.4
"3281","Hawaii","1999","Supplements to wages and salaries",4214.3
"3282","Hawaii","1999","Employer contributions for employee pension and insurance funds 5/",2861
"3283","Hawaii","1999","Employer contributions for government social insurance",1353.3
"3284","Hawaii","1999","Proprietors' income",2676.2
"3285","Hawaii","1999","Farm proprietors' income",43.8
"3286","Hawaii","1999","Nonfarm proprietors' income",2632.4
"3287","Hawaii","1999","Total employment (number of jobs)",738111
"3288","Hawaii","1999","Wage and salary employment",607879
"3289","Hawaii","1999","Proprietors employment",130232
"3290","Hawaii","1999","Farm proprietors employment 6/",5274
"3291","Hawaii","1999","Nonfarm proprietors employment",124958
"3292","Hawaii","1999","Average earnings per job (dollars)",33973
"3293","Hawaii","1999","Average wages and salaries",29916
"3294","Hawaii","1999","Average nonfarm proprietors' income",21066
"3295","Idaho","1999","Place of residence profile",NA
"3296","Idaho","1999","Personal income (millions of dollars)",30123.4
"3297","Idaho","1999","Derivation of personal income",NA
"3298","Idaho","1999","Net earnings by place of residence",20201.8
"3299","Idaho","1999","Personal current transfer receipts",3823.1
"3300","Idaho","1999","Income maintenance benefits 1/",303.5
"3301","Idaho","1999","Unemployment insurance compensation",113.5
"3302","Idaho","1999","Retirement and other",3406.1
"3303","Idaho","1999","Dividends, interest, and rent",6098.5
"3304","Idaho","1999","Personal dividend income",1481.1
"3305","Idaho","1999","Personal interest income",3858.3
"3306","Idaho","1999","Imputed interest receipts 2/",2288.5
"3307","Idaho","1999","Monetary interest receipts",1569.7
"3308","Idaho","1999","Rental income of persons",759.1
"3309","Idaho","1999","Imputed rent",463.9
"3310","Idaho","1999","Monetary rent",295.2
"3311","Idaho","1999","Population (persons) 3/",1275674
"3312","Idaho","1999","Per capita incomes (dollars)",NA
"3313","Idaho","1999","Per capita personal income 4/",23614
"3314","Idaho","1999","Per capita net earnings 4/",15836
"3315","Idaho","1999","Per capita personal current transfer receipts 4/",2997
"3316","Idaho","1999","Per capita income maintenance benefits 4/",238
"3317","Idaho","1999","Per capita unemployment insurance compensation 4/",89
"3318","Idaho","1999","Per capita retirement and other 4/",2670
"3319","Idaho","1999","Per capita dividends, interest, and rent 4/",4781
"3320","Idaho","1999","Per capita dividends 4/",1161
"3321","Idaho","1999","Per capita interest 4/",3024
"3322","Idaho","1999","Per capita rent 4/",595
"3323","Idaho","1999","Place of work profile (millions of dollars)",NA
"3324","Idaho","1999","Earnings by place of work",22307.3
"3325","Idaho","1999","Wages and salaries",15090.4
"3326","Idaho","1999","Supplements to wages and salaries",3482.1
"3327","Idaho","1999","Employer contributions for employee pension and insurance funds 5/",2126.3
"3328","Idaho","1999","Employer contributions for government social insurance",1355.8
"3329","Idaho","1999","Proprietors' income",3734.9
"3330","Idaho","1999","Farm proprietors' income",650.3
"3331","Idaho","1999","Nonfarm proprietors' income",3084.6
"3332","Idaho","1999","Total employment (number of jobs)",747188
"3333","Idaho","1999","Wage and salary employment",580625
"3334","Idaho","1999","Proprietors employment",166563
"3335","Idaho","1999","Farm proprietors employment 6/",24451
"3336","Idaho","1999","Nonfarm proprietors employment",142112
"3337","Idaho","1999","Average earnings per job (dollars)",29855
"3338","Idaho","1999","Average wages and salaries",25990
"3339","Idaho","1999","Average nonfarm proprietors' income",21705
"3340","Illinois","1999","Place of residence profile",NA
"3341","Illinois","1999","Personal income (millions of dollars)",384036.2
"3342","Illinois","1999","Derivation of personal income",NA
"3343","Illinois","1999","Net earnings by place of residence",266509.5
"3344","Illinois","1999","Personal current transfer receipts",42210.1
"3345","Illinois","1999","Income maintenance benefits 1/",4524.2
"3346","Illinois","1999","Unemployment insurance compensation",1175.4
"3347","Illinois","1999","Retirement and other",36510.5
"3348","Illinois","1999","Dividends, interest, and rent",75316.6
"3349","Illinois","1999","Personal dividend income",19052.7
"3350","Illinois","1999","Personal interest income",48089.7
"3351","Illinois","1999","Imputed interest receipts 2/",27186.5
"3352","Illinois","1999","Monetary interest receipts",20903.2
"3353","Illinois","1999","Rental income of persons",8174.2
"3354","Illinois","1999","Imputed rent",5143.2
"3355","Illinois","1999","Monetary rent",3031
"3356","Illinois","1999","Population (persons) 3/",12359020
"3357","Illinois","1999","Per capita incomes (dollars)",NA
"3358","Illinois","1999","Per capita personal income 4/",31073
"3359","Illinois","1999","Per capita net earnings 4/",21564
"3360","Illinois","1999","Per capita personal current transfer receipts 4/",3415
"3361","Illinois","1999","Per capita income maintenance benefits 4/",366
"3362","Illinois","1999","Per capita unemployment insurance compensation 4/",95
"3363","Illinois","1999","Per capita retirement and other 4/",2954
"3364","Illinois","1999","Per capita dividends, interest, and rent 4/",6094
"3365","Illinois","1999","Per capita dividends 4/",1542
"3366","Illinois","1999","Per capita interest 4/",3891
"3367","Illinois","1999","Per capita rent 4/",661
"3368","Illinois","1999","Place of work profile (millions of dollars)",NA
"3369","Illinois","1999","Earnings by place of work",298437.3
"3370","Illinois","1999","Wages and salaries",222635
"3371","Illinois","1999","Supplements to wages and salaries",45734.8
"3372","Illinois","1999","Employer contributions for employee pension and insurance funds 5/",30666
"3373","Illinois","1999","Employer contributions for government social insurance",15068.7
"3374","Illinois","1999","Proprietors' income",30067.6
"3375","Illinois","1999","Farm proprietors' income",704.2
"3376","Illinois","1999","Nonfarm proprietors' income",29363.3
"3377","Illinois","1999","Total employment (number of jobs)",7218569
"3378","Illinois","1999","Wage and salary employment",6152804
"3379","Illinois","1999","Proprietors employment",1065765
"3380","Illinois","1999","Farm proprietors employment 6/",80809
"3381","Illinois","1999","Nonfarm proprietors employment",984956
"3382","Illinois","1999","Average earnings per job (dollars)",41343
"3383","Illinois","1999","Average wages and salaries",36184
"3384","Illinois","1999","Average nonfarm proprietors' income",29812
"3385","Indiana","1999","Place of residence profile",NA
"3386","Indiana","1999","Personal income (millions of dollars)",160747
"3387","Indiana","1999","Derivation of personal income",NA
"3388","Indiana","1999","Net earnings by place of residence",111881.8
"3389","Indiana","1999","Personal current transfer receipts",20202.4
"3390","Indiana","1999","Income maintenance benefits 1/",1644.4
"3391","Indiana","1999","Unemployment insurance compensation",263.9
"3392","Indiana","1999","Retirement and other",18294.1
"3393","Indiana","1999","Dividends, interest, and rent",28662.8
"3394","Indiana","1999","Personal dividend income",7997.2
"3395","Indiana","1999","Personal interest income",17635.6
"3396","Indiana","1999","Imputed interest receipts 2/",10248.6
"3397","Indiana","1999","Monetary interest receipts",7387
"3398","Indiana","1999","Rental income of persons",3029.9
"3399","Indiana","1999","Imputed rent",2051.7
"3400","Indiana","1999","Monetary rent",978.2
"3401","Indiana","1999","Population (persons) 3/",6044969
"3402","Indiana","1999","Per capita incomes (dollars)",NA
"3403","Indiana","1999","Per capita personal income 4/",26592
"3404","Indiana","1999","Per capita net earnings 4/",18508
"3405","Indiana","1999","Per capita personal current transfer receipts 4/",3342
"3406","Indiana","1999","Per capita income maintenance benefits 4/",272
"3407","Indiana","1999","Per capita unemployment insurance compensation 4/",44
"3408","Indiana","1999","Per capita retirement and other 4/",3026
"3409","Indiana","1999","Per capita dividends, interest, and rent 4/",4742
"3410","Indiana","1999","Per capita dividends 4/",1323
"3411","Indiana","1999","Per capita interest 4/",2917
"3412","Indiana","1999","Per capita rent 4/",501
"3413","Indiana","1999","Place of work profile (millions of dollars)",NA
"3414","Indiana","1999","Earnings by place of work",122871
"3415","Indiana","1999","Wages and salaries",91587.8
"3416","Indiana","1999","Supplements to wages and salaries",19903.6
"3417","Indiana","1999","Employer contributions for employee pension and insurance funds 5/",13294.1
"3418","Indiana","1999","Employer contributions for government social insurance",6609.5
"3419","Indiana","1999","Proprietors' income",11379.6
"3420","Indiana","1999","Farm proprietors' income",209.9
"3421","Indiana","1999","Nonfarm proprietors' income",11169.7
"3422","Indiana","1999","Total employment (number of jobs)",3596542
"3423","Indiana","1999","Wage and salary employment",3060251
"3424","Indiana","1999","Proprietors employment",536291
"3425","Indiana","1999","Farm proprietors employment 6/",65866
"3426","Indiana","1999","Nonfarm proprietors employment",470425
"3427","Indiana","1999","Average earnings per job (dollars)",34164
"3428","Indiana","1999","Average wages and salaries",29928
"3429","Indiana","1999","Average nonfarm proprietors' income",23744
"3430","Iowa","1999","Place of residence profile",NA
"3431","Iowa","1999","Personal income (millions of dollars)",75468.2
"3432","Iowa","1999","Derivation of personal income",NA
"3433","Iowa","1999","Net earnings by place of residence",49856.7
"3434","Iowa","1999","Personal current transfer receipts",10133
"3435","Iowa","1999","Income maintenance benefits 1/",721.8
"3436","Iowa","1999","Unemployment insurance compensation",191.1
"3437","Iowa","1999","Retirement and other",9220
"3438","Iowa","1999","Dividends, interest, and rent",15478.5
"3439","Iowa","1999","Personal dividend income",3448.5
"3440","Iowa","1999","Personal interest income",10380.7
"3441","Iowa","1999","Imputed interest receipts 2/",5789.4
"3442","Iowa","1999","Monetary interest receipts",4591.3
"3443","Iowa","1999","Rental income of persons",1649.3
"3444","Iowa","1999","Imputed rent",880.2
"3445","Iowa","1999","Monetary rent",769.1
"3446","Iowa","1999","Population (persons) 3/",2917634
"3447","Iowa","1999","Per capita incomes (dollars)",NA
"3448","Iowa","1999","Per capita personal income 4/",25866
"3449","Iowa","1999","Per capita net earnings 4/",17088
"3450","Iowa","1999","Per capita personal current transfer receipts 4/",3473
"3451","Iowa","1999","Per capita income maintenance benefits 4/",247
"3452","Iowa","1999","Per capita unemployment insurance compensation 4/",66
"3453","Iowa","1999","Per capita retirement and other 4/",3160
"3454","Iowa","1999","Per capita dividends, interest, and rent 4/",5305
"3455","Iowa","1999","Per capita dividends 4/",1182
"3456","Iowa","1999","Per capita interest 4/",3558
"3457","Iowa","1999","Per capita rent 4/",565
"3458","Iowa","1999","Place of work profile (millions of dollars)",NA
"3459","Iowa","1999","Earnings by place of work",55618.9
"3460","Iowa","1999","Wages and salaries",40182.1
"3461","Iowa","1999","Supplements to wages and salaries",8732.6
"3462","Iowa","1999","Employer contributions for employee pension and insurance funds 5/",5563.7
"3463","Iowa","1999","Employer contributions for government social insurance",3168.8
"3464","Iowa","1999","Proprietors' income",6704.2
"3465","Iowa","1999","Farm proprietors' income",1248.4
"3466","Iowa","1999","Nonfarm proprietors' income",5455.9
"3467","Iowa","1999","Total employment (number of jobs)",1896080
"3468","Iowa","1999","Wage and salary employment",1521119
"3469","Iowa","1999","Proprietors employment",374961
"3470","Iowa","1999","Farm proprietors employment 6/",95648
"3471","Iowa","1999","Nonfarm proprietors employment",279313
"3472","Iowa","1999","Average earnings per job (dollars)",29334
"3473","Iowa","1999","Average wages and salaries",26416
"3474","Iowa","1999","Average nonfarm proprietors' income",19533
"3475","Kansas","1999","Place of residence profile",NA
"3476","Kansas","1999","Personal income (millions of dollars)",72284.1
"3477","Kansas","1999","Derivation of personal income",NA
"3478","Kansas","1999","Net earnings by place of residence",48453.3
"3479","Kansas","1999","Personal current transfer receipts",8902.2
"3480","Kansas","1999","Income maintenance benefits 1/",658.3
"3481","Kansas","1999","Unemployment insurance compensation",156.1
"3482","Kansas","1999","Retirement and other",8087.8
"3483","Kansas","1999","Dividends, interest, and rent",14928.6
"3484","Kansas","1999","Personal dividend income",3393.8
"3485","Kansas","1999","Personal interest income",10188.1
"3486","Kansas","1999","Imputed interest receipts 2/",5947.9
"3487","Kansas","1999","Monetary interest receipts",4240.2
"3488","Kansas","1999","Rental income of persons",1346.7
"3489","Kansas","1999","Imputed rent",809
"3490","Kansas","1999","Monetary rent",537.7
"3491","Kansas","1999","Population (persons) 3/",2678338
"3492","Kansas","1999","Per capita incomes (dollars)",NA
"3493","Kansas","1999","Per capita personal income 4/",26988
"3494","Kansas","1999","Per capita net earnings 4/",18091
"3495","Kansas","1999","Per capita personal current transfer receipts 4/",3324
"3496","Kansas","1999","Per capita income maintenance benefits 4/",246
"3497","Kansas","1999","Per capita unemployment insurance compensation 4/",58
"3498","Kansas","1999","Per capita retirement and other 4/",3020
"3499","Kansas","1999","Per capita dividends, interest, and rent 4/",5574
"3500","Kansas","1999","Per capita dividends 4/",1267
"3501","Kansas","1999","Per capita interest 4/",3804
"3502","Kansas","1999","Per capita rent 4/",503
"3503","Kansas","1999","Place of work profile (millions of dollars)",NA
"3504","Kansas","1999","Earnings by place of work",53778.2
"3505","Kansas","1999","Wages and salaries",39438.5
"3506","Kansas","1999","Supplements to wages and salaries",8565.7
"3507","Kansas","1999","Employer contributions for employee pension and insurance funds 5/",5498.9
"3508","Kansas","1999","Employer contributions for government social insurance",3066.7
"3509","Kansas","1999","Proprietors' income",5774
"3510","Kansas","1999","Farm proprietors' income",1085.4
"3511","Kansas","1999","Nonfarm proprietors' income",4688.6
"3512","Kansas","1999","Total employment (number of jobs)",1740420
"3513","Kansas","1999","Wage and salary employment",1409660
"3514","Kansas","1999","Proprietors employment",330760
"3515","Kansas","1999","Farm proprietors employment 6/",66141
"3516","Kansas","1999","Nonfarm proprietors employment",264619
"3517","Kansas","1999","Average earnings per job (dollars)",30900
"3518","Kansas","1999","Average wages and salaries",27977
"3519","Kansas","1999","Average nonfarm proprietors' income",17718
"3520","Kentucky","1999","Place of residence profile",NA
"3521","Kentucky","1999","Personal income (millions of dollars)",93539.1
"3522","Kentucky","1999","Derivation of personal income",NA
"3523","Kentucky","1999","Net earnings by place of residence",60930.1
"3524","Kentucky","1999","Personal current transfer receipts",15736.4
"3525","Kentucky","1999","Income maintenance benefits 1/",1819.2
"3526","Kentucky","1999","Unemployment insurance compensation",260.4
"3527","Kentucky","1999","Retirement and other",13656.8
"3528","Kentucky","1999","Dividends, interest, and rent",16872.7
"3529","Kentucky","1999","Personal dividend income",3991.2
"3530","Kentucky","1999","Personal interest income",11132.9
"3531","Kentucky","1999","Imputed interest receipts 2/",6827.1
"3532","Kentucky","1999","Monetary interest receipts",4305.8
"3533","Kentucky","1999","Rental income of persons",1748.6
"3534","Kentucky","1999","Imputed rent",1188.7
"3535","Kentucky","1999","Monetary rent",559.9
"3536","Kentucky","1999","Population (persons) 3/",4018053
"3537","Kentucky","1999","Per capita incomes (dollars)",NA
"3538","Kentucky","1999","Per capita personal income 4/",23280
"3539","Kentucky","1999","Per capita net earnings 4/",15164
"3540","Kentucky","1999","Per capita personal current transfer receipts 4/",3916
"3541","Kentucky","1999","Per capita income maintenance benefits 4/",453
"3542","Kentucky","1999","Per capita unemployment insurance compensation 4/",65
"3543","Kentucky","1999","Per capita retirement and other 4/",3399
"3544","Kentucky","1999","Per capita dividends, interest, and rent 4/",4199
"3545","Kentucky","1999","Per capita dividends 4/",993
"3546","Kentucky","1999","Per capita interest 4/",2771
"3547","Kentucky","1999","Per capita rent 4/",435
"3548","Kentucky","1999","Place of work profile (millions of dollars)",NA
"3549","Kentucky","1999","Earnings by place of work",69459.3
"3550","Kentucky","1999","Wages and salaries",51148.7
"3551","Kentucky","1999","Supplements to wages and salaries",11664.9
"3552","Kentucky","1999","Employer contributions for employee pension and insurance funds 5/",7512.9
"3553","Kentucky","1999","Employer contributions for government social insurance",4152.1
"3554","Kentucky","1999","Proprietors' income",6645.7
"3555","Kentucky","1999","Farm proprietors' income",553.3
"3556","Kentucky","1999","Nonfarm proprietors' income",6092.4
"3557","Kentucky","1999","Total employment (number of jobs)",2264164
"3558","Kentucky","1999","Wage and salary employment",1876601
"3559","Kentucky","1999","Proprietors employment",387563
"3560","Kentucky","1999","Farm proprietors employment 6/",95994
"3561","Kentucky","1999","Nonfarm proprietors employment",291569
"3562","Kentucky","1999","Average earnings per job (dollars)",30678
"3563","Kentucky","1999","Average wages and salaries",27256
"3564","Kentucky","1999","Average nonfarm proprietors' income",20895
"3565","Louisiana","1999","Place of residence profile",NA
"3566","Louisiana","1999","Personal income (millions of dollars)",101339.5
"3567","Louisiana","1999","Derivation of personal income",NA
"3568","Louisiana","1999","Net earnings by place of residence",66080.2
"3569","Louisiana","1999","Personal current transfer receipts",17250.9
"3570","Louisiana","1999","Income maintenance benefits 1/",2273
"3571","Louisiana","1999","Unemployment insurance compensation",172.6
"3572","Louisiana","1999","Retirement and other",14805.2
"3573","Louisiana","1999","Dividends, interest, and rent",18008.4
"3574","Louisiana","1999","Personal dividend income",4365.8
"3575","Louisiana","1999","Personal interest income",11591.2
"3576","Louisiana","1999","Imputed interest receipts 2/",7371.6
"3577","Louisiana","1999","Monetary interest receipts",4219.6
"3578","Louisiana","1999","Rental income of persons",2051.4
"3579","Louisiana","1999","Imputed rent",1250.5
"3580","Louisiana","1999","Monetary rent",800.9
"3581","Louisiana","1999","Population (persons) 3/",4460811
"3582","Louisiana","1999","Per capita incomes (dollars)",NA
"3583","Louisiana","1999","Per capita personal income 4/",22718
"3584","Louisiana","1999","Per capita net earnings 4/",14813
"3585","Louisiana","1999","Per capita personal current transfer receipts 4/",3867
"3586","Louisiana","1999","Per capita income maintenance benefits 4/",510
"3587","Louisiana","1999","Per capita unemployment insurance compensation 4/",39
"3588","Louisiana","1999","Per capita retirement and other 4/",3319
"3589","Louisiana","1999","Per capita dividends, interest, and rent 4/",4037
"3590","Louisiana","1999","Per capita dividends 4/",979
"3591","Louisiana","1999","Per capita interest 4/",2598
"3592","Louisiana","1999","Per capita rent 4/",460
"3593","Louisiana","1999","Place of work profile (millions of dollars)",NA
"3594","Louisiana","1999","Earnings by place of work",73947.5
"3595","Louisiana","1999","Wages and salaries",54055.8
"3596","Louisiana","1999","Supplements to wages and salaries",11550.7
"3597","Louisiana","1999","Employer contributions for employee pension and insurance funds 5/",7901.9
"3598","Louisiana","1999","Employer contributions for government social insurance",3648.8
"3599","Louisiana","1999","Proprietors' income",8341
"3600","Louisiana","1999","Farm proprietors' income",436.7
"3601","Louisiana","1999","Nonfarm proprietors' income",7904.2
"3602","Louisiana","1999","Total employment (number of jobs)",2352801
"3603","Louisiana","1999","Wage and salary employment",1994018
"3604","Louisiana","1999","Proprietors employment",358783
"3605","Louisiana","1999","Farm proprietors employment 6/",30459
"3606","Louisiana","1999","Nonfarm proprietors employment",328324
"3607","Louisiana","1999","Average earnings per job (dollars)",31430
"3608","Louisiana","1999","Average wages and salaries",27109
"3609","Louisiana","1999","Average nonfarm proprietors' income",24074
"3610","Maine","1999","Place of residence profile",NA
"3611","Maine","1999","Personal income (millions of dollars)",32545.6
"3612","Maine","1999","Derivation of personal income",NA
"3613","Maine","1999","Net earnings by place of residence",20956.1
"3614","Maine","1999","Personal current transfer receipts",5291.4
"3615","Maine","1999","Income maintenance benefits 1/",565.8
"3616","Maine","1999","Unemployment insurance compensation",91.2
"3617","Maine","1999","Retirement and other",4634.4
"3618","Maine","1999","Dividends, interest, and rent",6298.1
"3619","Maine","1999","Personal dividend income",1490.7
"3620","Maine","1999","Personal interest income",4095.1
"3621","Maine","1999","Imputed interest receipts 2/",2443.3
"3622","Maine","1999","Monetary interest receipts",1651.8
"3623","Maine","1999","Rental income of persons",712.4
"3624","Maine","1999","Imputed rent",434.1
"3625","Maine","1999","Monetary rent",278.3
"3626","Maine","1999","Population (persons) 3/",1266808
"3627","Maine","1999","Per capita incomes (dollars)",NA
"3628","Maine","1999","Per capita personal income 4/",25691
"3629","Maine","1999","Per capita net earnings 4/",16542
"3630","Maine","1999","Per capita personal current transfer receipts 4/",4177
"3631","Maine","1999","Per capita income maintenance benefits 4/",447
"3632","Maine","1999","Per capita unemployment insurance compensation 4/",72
"3633","Maine","1999","Per capita retirement and other 4/",3658
"3634","Maine","1999","Per capita dividends, interest, and rent 4/",4972
"3635","Maine","1999","Per capita dividends 4/",1177
"3636","Maine","1999","Per capita interest 4/",3233
"3637","Maine","1999","Per capita rent 4/",562
"3638","Maine","1999","Place of work profile (millions of dollars)",NA
"3639","Maine","1999","Earnings by place of work",23055.2
"3640","Maine","1999","Wages and salaries",16338.8
"3641","Maine","1999","Supplements to wages and salaries",3793.2
"3642","Maine","1999","Employer contributions for employee pension and insurance funds 5/",2467
"3643","Maine","1999","Employer contributions for government social insurance",1326.2
"3644","Maine","1999","Proprietors' income",2923.2
"3645","Maine","1999","Farm proprietors' income",120.6
"3646","Maine","1999","Nonfarm proprietors' income",2802.6
"3647","Maine","1999","Total employment (number of jobs)",762975
"3648","Maine","1999","Wage and salary employment",606692
"3649","Maine","1999","Proprietors employment",156283
"3650","Maine","1999","Farm proprietors employment 6/",6822
"3651","Maine","1999","Nonfarm proprietors employment",149461
